@relation EpidemicML
@attribute prophet_probability numeric
@attribute buffer_occupency numeric
@attribute successful_deliveries numeric
@attribute success_ratio numeric
@attribute from_speed numeric
@attribute to_speed numeric
@attribute distance_to_end numeric
@attribute distance_from_source numeric
@attribute message_live_time numeric
@attribute from_energy numeric
@attribute to_energy numeric
@attribute current_hop_count numeric
@attribute is_succesfully_delivered {0,1}
@data
0.0,4125329.0,0,0.0,9.34538283471937,1.0924149952146847,1287.0112637113637,0.0,71.39999999999489,179338.4000000096,179334.8000000096,1,0
0.0,4476743.0,0,0.0,7.49636246719026,1.4189948108139157,1324.942036996034,0.0,94.09999999999485,179276.10000000964,179332.00000000963,1,0
0.0,4125329.0,0,0.0,9.34538283471937,1.2561229874793662,1092.5663000354648,0.0,97.99999999999338,179216.50000001115,179228.00000001115,1,0
0.0,4031878.0,0,0.0,8.025435385395475,1.0099166904961374,1596.122324043533,0.0,147.89999999999281,179151.90000001172,179188.80000001172,1,0
0.0,4125329.0,0,0.0,9.34538283471937,4.2726739006499885,1115.748306176024,0.0,122.69999999999197,179105.20000001258,179129.60000001258,1,0
0.0,4.9125329E7,0,0.0,9.34538283471937,8.270320177945202,1065.230952874868,0.0,131.49999999999147,179059.5000000131,179052.5000000131,1,0
0.0,4476743.0,0,0.0,1.056760793579739,4.413075875920437,1060.5373835460225,316.8446855597307,178.99999999999002,178974.50000001458,178988.40000001458,3,0
0.0,4136459.0,0,0.0,1.2554893620914942,0.859170389474308,662.218372139062,0.0,69.89999999999083,178952.40000001516,178956.40000001516,1,1
0.0,3755809.0,0,0.0,0.826165233459003,1.056760793579739,690.5805304983999,0.0,0.0,178905.00000001537,178908.50000001537,1,0
0.0,4086123.0,0,0.0,7.849379892573914,0.6311643198850126,1438.9486490482702,0.0,121.69999999999396,178901.20000001596,178893.60000001595,1,0
0.0,4454914.0,0,0.0,1.3661701576376264,0.5252792162573781,646.684070843916,0.0,50.19999999999408,178891.200000016,178899.200000016,1,1
0.0,4086123.0,0,0.0,7.849379892573914,0.7825397830741819,1616.0084819656624,0.0,147.7999999999999,178785.80000001745,178785.20000001744,1,0
0.0,4437953.0,0,0.0,7.470727327633655,4.755770018575788,1379.5636380982955,0.0,94.40000000000072,178762.40000001766,178762.40000001766,1,0
0.0,4454914.0,0,0.0,1.3661701576376264,1.4106458929422454,627.9885152538578,0.0,91.2000000000034,178712.70000001835,178731.20000001835,1,0
0.0,4437953.0,0,0.0,7.470727327633655,0.9077529895291524,1289.887235386098,0.0,116.80000000000581,178664.80000001896,178681.20000001896,1,1
0.0,4124984.0,0,0.0,8.646941389587816,4.243961551447391,1252.9877492343605,0.0,25.500000000006423,178674.00000001912,178670.40000001912,1,0
0.0,4476743.0,0,0.0,0.8629822353086423,1.4869239502027183,713.3357083516574,421.1778185007447,261.0000000000072,178649.50000001932,178668.00000001932,2,0
